,e1-tracer.sch,"2020-08-15 16:57:55",,"EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft",,,,,,
8,"D1, D2, D3, D4, D5, D6, D7, D8",MBR0540T1,SOD123,DIODE,DIGIKEY,MBR0540T1GOSCT-ND,https://www.digikey.de/product-detail/de/on-semiconductor/MBR0540T1G/MBR0540T1GOSCT-ND,"DIODE SCHOTTKY 40V 500MA SOD123",TRUE,
1,IC1,MCP1703T-1202E/CB,SOT23-3,IC,DIGIKEY,MCP1703T-1202E/CBCT-ND,https://www.digikey.de/product-detail/de/microchip-technology/MCP1703T-1202E-CB/MCP1703T-1202E-CBCT-ND/1994670,"IC REG LIN 1.2V 200MA SOT23A-3",TRUE,
1,IC2,W25Q80DVSNIG,SO08COMBINED,IC,DIGIKEY,W25Q80DVSNIG-ND,https://www.digikey.de/product-detail/de/winbond-electronics/W25Q80DVSNIG/W25Q80DVSNIG-ND,"IC FLASH 8M SPI 104MHZ 8SOIC",TRUE,
1,IC3,TLV70233DBVR,SOT23-DBV,IC,DIGIKEY,296-32415-1-ND,https://www.digikey.de/product-detail/de/texas-instruments/TLV70233DBVR/296-32415-1-ND,"IC REG LINEAR 3.3V 300MA SOT23-5",TRUE,
1,U1,ICE40UP5K-SG48I,QFN48,IC,DIGIKEY,220-2212-1-ND,https://www.digikey.de/product-detail/de/lattice-semiconductor-corporation/ICE40UP5K-SG48I/220-2212-1-ND/,"IC FPGA 39 I/O 48QFN",TRUE,
2,"U2, U3",IP4234CZ6,TSOP-6,IC,DIGIKEY,1727-4717-1-ND,https://www.digikey.de/product-detail/de/nexperia-usa-inc/IP4234CZ6125/1727-4717-1-ND/2531156,"TVS DIODE 5.5V 6TSOP",TRUE,
2,"U4, U5",IDT82V2081,TQFP44,IC,DIGIKEY,800-2347-ND,https://www.digikey.de/product-detail/de/renesas-electronics-america-inc/82V2081PPG/800-2347-ND,"IC TELECOM INTERFACE 44TQFP",TRUE,
1,IC4,ASEM1-12.000MHZ-LC-T,TSX-3225,"IC / XTAL / XO",DIGIKEY,535-9757-1-ND,https://www.digikey.de/product-detail/de/abracon-llc/ASEM1-12-000MHZ-LC-T/535-9757-1-ND,"MEMS OSC XO 12.0000MHZ CMOS SMD",TRUE,
1,U6,"2.048 Mhz",HC73,"IC / XTAL / XO",DIGIKEY,631-1182-ND,https://www.digikey.de/product-detail/de/renesas-electronics-america-inc/XLH736002-048000I/631-1182-ND,"XTAL OSC XO 2.0480MHZ HCMOS SMD",TRUE,
1,U7,"1.544 MHz",HC73,"IC / XTAL / XO","UNKNOWN SOURCE","UNKNOWN SOURCE PART NUMBER","UNKNOWN LINK","NO DESCRIPTION",FALSE,
1,J1,PASSTHROUGH,557560-1,CONNECTOR\JUMPER,DIGIKEY,A31449-ND,https://www.digikey.de/product-detail/de/te-connectivity-amp-connectors/5557560-1/A31449-ND,"CONN MOD JACK 8P8C R/A UNSHLD",TRUE,
1,JP1,,1X08_LOCK,CONNECTOR\JUMPER,"UNKNOWN SOURCE","UNKNOWN SOURCE PART NUMBER","UNKNOWN LINK","NO DESCRIPTION",TRUE,
1,L1,744231091,WE-CNSW_0805,INDUCTOR,DIGIKEY,732-3198-1-ND,https://www.digikey.de/product-detail/de/wurth-electronics-inc/744231091/732-3198-1-ND,"CMC 370MA 2LN 90 OHM SMD",TRUE,
2,"L2, L3",47nH,SM-1206,INDUCTOR,DIGIKEY,CE201210-47NJCT-ND,https://www.digikey.de/product-detail/de/bourns-inc/CE201210-47NJ/CE201210-47NJCT-ND/3438045,"FIXED IND 47NH 300MA 700MOHM SMD",TRUE,
2,"M1, M2",MENTOR_12701001,1270.1001,"LIGHT GUIDE","UNKNOWN SOURCE","UNKNOWN SOURCE PART NUMBER","UNKNOWN LINK","NO DESCRIPTION",TRUE,
1,R1,100R,_0603,RESISTOR,DIGIKEY,RMCF0603JT100RCT-ND,https://www.digikey.de/product-detail/de/stackpole-electronics-inc/RMCF0603JT100R/RMCF0603JT100RCT-ND,"RES 100 OHM 5%% 1/10W 0603",TRUE,
7,"R2, R3, R4, R5, R44, R45, R46",DNP,_0603,RESISTOR,DIGIKEY,P0.0GCT-ND,https://www.digikey.de/product-detail/de/panasonic-electronic-components/ERJ-3GEY0R00V/P0-0GCT-ND/134711,"RES SMD 0 OHM JUMPER 1/10W 0603",FALSE,
2,"R6, R7",33,_0402,RESISTOR,DIGIKEY,RMCF0603JT33R0CT-ND,https://www.digikey.de/product-detail/de/stackpole-electronics-inc/RMCF0603JT33R0/RMCF0603JT33R0CT-ND,"RES 33 OHM 5%% 1/10W 0603",TRUE,
23,"R8, R10, R13, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R36, R37",10k,_0603,RESISTOR,DIGIKEY,RMCF0603JT10K0CT-ND,https://www.digikey.de/product-detail/de/stackpole-electronics-inc/RMCF0603JT10K0/RMCF0603JT10K0CT-ND,"RES 10K OHM 5%% 1/10W 0603",TRUE,
1,R9,1k5,_0603,RESISTOR,DIGIKEY,RMCF0603JT1K50CT-ND,https://www.digikey.de/product-detail/de/stackpole-electronics-inc/RMCF0603JT1K50/RMCF0603JT1K50CT-ND,"RES 1.5K OHM 5%% 1/10W 0603",TRUE,
2,"R11, R12",100k,_0603,RESISTOR,DIGIKEY,311-100KGRCT-ND,https://www.digikey.de/product-detail/de/yageo/RC0603JR-07100KL/311-100KGRCT-ND/729645,"RES SMD 100K OHM 5%% 1/10W 0603",TRUE,
1,R14,2.2k,_0603,RESISTOR,DIGIKEY,RMCF0603JT2K20CT-ND,https://www.digikey.de/product-detail/de/stackpole-electronics-inc/RMCF0603JT2K20/RMCF0603JT2K20CT-ND,"RES 2.2K OHM 5%% 1/10W 0603",TRUE,
3,"R15, R40, R41",330,_0603,RESISTOR,DIGIKEY,311-330HRCT-ND,https://www.digikey.de/product-detail/de/yageo/RC0603FR-07330RL/311-330HRCT-ND,"RES SMD 330 OHM 1%% 1/10W 0603",TRUE,
2,"R34, R35","3k 1%",_0603,RESISTOR,DIGIKEY,RMCF0603FT3K00CT-ND,https://www.digikey.de/product-detail/de/stackpole-electronics-inc/RMCF0603FT3K00/RMCF0603FT3K00CT-ND,"RES 3K OHM 1%% 1/10W 0603",TRUE,
2,"R38, R39",120,_0603,RESISTOR,DIGIKEY,RMCF0603JT120RCT-ND,https://www.digikey.de/product-detail/de/stackpole-electronics-inc/RMCF0603JT120R/RMCF0603JT120RCT-ND,"RES 120 OHM 5%% 1/10W 0603",TRUE,
2,"R42, R43",1k,_0603,RESISTOR,DIGIKEY,RMCF0603JT1K00CT-ND,https://www.digikey.de/product-detail/de/stackpole-electronics-inc/RMCF0603JT1K00/RMCF0603JT1K00CT-ND/1943173,"RES 1K OHM 5%% 1/10W 0603",TRUE,
1,SW1,TACTSW-TL3340,TL3340-ORIG,SWITCH,DIGIKEY,EG4627CT-ND,https://www.digikey.de/product-detail/de/e-switch/TL3340AF160QG/EG4627CT-ND/1885974,"SWITCH TACTILE SPST-NO 0.05A 12V",TRUE,
2,"T1, T2",BC847C,SOT23-BEC,TRANSISTOR,DIGIKEY,1727-2924-1-ND,"https://www.digikey.de/product-detail/de/nexperia-usa-inc/BC847C,215/1727-2924-1-ND","TRANS NPN 45V 0.1A SOT23",TRUE,
2,"TR1, TR2",PULSE_T1094NL,PULSE_BH,TRANSFORMER,DIGIKEY,553-1449-ND,https://www.digikey.de/product-detail/de/pulse-electronics-network/T1094NL/553-1449-ND,"TRANSFORMER TELECOM DUAL T1/E2",TRUE,
1,X1,MINI-USB-SHIELD-UX60-MB-5ST,UX60-MB-5ST,CONNECTOR,DIGIKEY,H2961CT-ND,https://www.digikey.de/product-detail/de/hirose-electric-co-ltd/UX60A-MB-5ST/H2961CT-ND/597540,"CONN RCPT USB2.0 MINI B SMD R/A",TRUE,
1,X2,JACK2.5_SJ-2523,JACK2.5_SJ-2523,CONNECTOR,DIGIKEY,CP-2523SJCT-ND,https://www.digikey.de/product-detail/de/cui-inc/SJ-2523-SMT-TR/CP-2523SJCT-ND/669702,"CONN JACK STEREO 2.5MM SMD R/A",TRUE,
